Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,Duck,Country
SR Tendulkar (INDIA),1989-2013,200,329,33,15921,248*,53.78,51,68,14,INDIA
RT Ponting (AUS),1995-2012,168,287,29,13378,257,51.85,41,62,17,AUS
JH Kallis (ICC/SA),1995-2013,166,280,40,13289,224,55.37,45,58,16,ICC/SA
R Dravid (ICC/INDIA),1996-2012,164,286,32,13288,270,52.31,36,63,8,ICC/INDIA
AN Cook (ENG),2006-2018,161,291,16,12472,294,45.35,33,57,9,ENG
KC Sangakkara (SL),2000-2015,134,233,17,12400,319,57.4,38,52,11,SL
BC Lara (ICC/WI),1990-2006,131,232,6,11953,400*,52.88,34,48,17,ICC/WI
S Chanderpaul (WI),1994-2015,164,280,49,11867,203*,51.37,30,66,15,WI
DPMD Jayawardene (SL),1997-2014,149,252,15,11814,374,49.84,34,50,15,SL
AR Border (AUS),1978-1994,156,265,44,11174,205,50.56,27,63,11,AUS
SR Waugh (AUS),1985-2004,168,260,46,10927,200,51.06,32,50,22,AUS
SM Gavaskar (INDIA),1971-1987,125,214,16,10122,236*,51.12,34,45,12,INDIA
Younis Khan (PAK),2000-2017,118,213,19,10099,313,52.05,34,33,19,PAK
HM Amla (SA),2004-2019,124,215,16,9282,311*,46.64,28,41,13,SA
GC Smith (ICC/SA),2002-2014,117,205,13,9265,277,48.25,27,38,11,ICC/SA
GA Gooch (ENG),1975-1995,118,215,6,8900,333,42.58,20,46,13,ENG
Javed Miandad (PAK),1976-1993,124,189,21,8832,280*,52.57,23,43,6,PAK
Inzamam-ul-Haq (ICC/PAK),1992-2007,120,200,22,8830,329,49.6,25,46,15,ICC/PAK
VVS Laxman (INDIA),1996-2012,134,225,34,8781,281,45.97,17,56,14,INDIA
AB de Villiers (SA),2004-2018,114,191,18,8765,278*,50.66,22,46,8,SA
MJ Clarke (AUS),2004-2015,115,198,22,8643,329*,49.1,28,27,9,AUS
ML Hayden (AUS),1994-2009,103,184,14,8625,380,50.73,30,29,14,AUS
V Sehwag (ICC/INDIA),2001-2013,104,180,6,8586,319,49.34,23,32,16,ICC/INDIA
IVA Richards (WI),1974-1991,121,182,12,8540,291,50.23,24,45,10,WI
AJ Stewart (ENG),1990-2003,133,235,21,8463,190,39.54,15,45,14,ENG
DI Gower (ENG),1978-1992,117,204,18,8231,215,44.25,18,39,7,ENG
KP Pietersen (ENG),2005-2014,104,181,8,8181,227,47.28,23,35,10,ENG
G Boycott (ENG),1964-1982,108,193,23,8114,246*,47.72,22,42,10,ENG
GS Sobers (WI),1954-1974,93,160,21,8032,365*,57.78,26,30,12,WI
ME Waugh (AUS),1991-2002,128,209,17,8029,153*,41.81,20,47,19,AUS
MA Atherton (ENG),1989-2001,115,212,7,7728,185*,37.69,16,46,20,ENG
IR Bell (ENG),2004-2015,118,205,24,7727,235,42.69,22,46,14,ENG
JL Langer (AUS),1993-2007,105,182,12,7696,250,45.27,23,30,11,AUS
MC Cowdrey (ENG),1954-1975,114,188,15,7624,182,44.06,22,38,9,ENG
CG Greenidge (WI),1974-1991,108,185,16,7558,226,44.72,19,34,11,WI
Mohammad Yousuf (PAK),1998-2010,90,156,12,7530,223,52.29,24,33,11,PAK
MA Taylor (AUS),1989-1999,104,186,13,7525,334*,43.49,19,40,5,AUS
CH Lloyd (WI),1966-1985,110,175,14,7515,242*,46.67,19,39,4,WI
DL Haynes (WI),1978-1994,116,202,25,7487,184,42.29,18,39,10,WI
DC Boon (AUS),1984-1996,107,190,20,7422,200,43.65,21,32,16,AUS
JE Root (ENG),2012-2019,89,164,12,7359,254,48.41,17,45,8,ENG
G Kirsten (SA),1993-2004,101,176,15,7289,275,45.27,21,34,13,SA
WR Hammond (ENG),1927-1947,85,140,16,7249,336*,58.45,22,24,4,ENG
CH Gayle (WI),2000-2014,103,182,11,7214,333,42.18,15,37,15,WI
SC Ganguly (INDIA),1996-2008,113,188,17,7212,239,42.17,16,35,13,INDIA
V Kohli (INDIA),2011-2019,84,141,10,7202,254*,54.97,27,22,10,INDIA
SP Fleming (NZ),1994-2008,111,189,10,7172,274*,40.06,9,46,16,NZ
SPD Smith (AUS),2010-2019,72,130,16,7164,239,62.84,26,28,4,AUS
